Designator	PrintData

"*1"	""
"*2"	""
"*3"	""
"*4"	""
"*5"	""
"*6"	""
"*7"	""
"*8"	""
"*9"	""
"*10"	""
"A1"	"Чип-антенна керамическая ACAG1204-433-T; Abracon (США)"
"C1"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C2"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 1 мкФ ± 10%; 10 В; X5R; (Китай)"
"C3"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 4,7 мкФ ± 10%; 10 В; X5R; (Китай)"
"C4"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C5"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 1 мкФ ± 10%; 10 В; X5R; (Китай)"
"C6"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C7"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 6 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C8"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 6 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C9"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C10"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C11"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C12"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C13"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 1 мкФ ± 10%; 10 В; X5R; (Китай)"
"C14"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C15"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C16"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C17"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 47 пФ ± 5%; 50 В; NPO; (Китай)"
"C18"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 6 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C19"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 6 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C20"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C21"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 47 пФ ± 5%; 50 В; NPO; (Китай)"
"C22"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C23"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 2,2 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C24"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 6,8 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C25"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 15 пФ ± 5%; 50 В; NPO; (Китай)"
"C26"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 12 пФ ± 5%; 50 В; NPO; (Китай)"
"C27"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 6,8 пФ ± 0,25 пФ; 50 В; NPO; (Китай)"
"C28"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 10 нФ ± 10%; 50 В; X7R; (Китай)"
"C29"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 47 пФ ± 5%; 50 В; NPO; (Китай)"
"C30"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 47 пФ ± 5%; 50 В; NPO; (Китай)"
"C31"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"C32"	"Чип-конденсатор керамический CC0402KRX7R7BB104; 0402; 100 нФ ± 10%; 25 В; X5R; (Китай)"
"DA1"	"Микросхема LDL1117S33R; STMicroelectronics (США)"
"DD1"	"Микросхема STM32L151C6T6; STMicroelectronics (США)"
"DD2"	"Микросхема CP2102N; Silicon Labs (США)"
"DD3"	"Микросхема 24LC512-I/SM; Microchip Technology (США)"
"DD4"	"Микросхема SX1276IMLTRT; Semtech Corporation (США)"
"DD5"	"Микросхема ADM3485ARZ; Analog Devices Inc. (США)"
"DD6"	"Микросхема SN65HVD232; Texas Instruments (США)"
"J1"	""
"L1"	"Чип-индуктивность LQM18FN100M00D; 0603; 10 мкГн ± 10%; 50 мА; (Китай)"
"L2"	"Чип-индуктивность LQM18FN100M00D; 0603; 4,7 нГн ± 10%; 50 мА; (Китай)"
"L3"	"Чип-индуктивность LQM18FN100M00D; 0603; 22 нГн ± 10%; 50 мА; (Китай)"
"L4"	"Чип-индуктивность LQM18FN100M00D; 0603; 22 нГн ± 10%; 50 мА; (Китай)"
"L5"	"Чип-индуктивность LQM18FN100M00D; 0603; 18 нГн ± 10%; 50 мА; (Китай)"
"L6"	"Чип-индуктивность LQM18FN100M00D; 0603; 18 нГн ± 10%; 50 мА; (Китай)"
"R1"	"Чип-резистор RC0402JR-07100RL; 0402; 10 кОм ± 5%; 0,1 Вт; (Китай)"
"R2"	"Чип-резистор RC0402JR-07100RL; 0402; 36 Ом ± 5%; 0,1 Вт; (Китай)"
"R3"	"Чип-резистор RC0402JR-07100RL; 0402; 5,1 Ом ± 5%; 0,1 Вт; (Китай)"
"R4"	"Чип-резистор RC0402JR-07100RL; 0402; 5,1 Ом ± 5%; 0,1 Вт; (Китай)"
"R5"	"Чип-резистор RC0402JR-07100RL; 0402; 10 кОм ± 5%; 0,1 Вт; (Китай)"
"R6"	"Чип-резистор RC0402JR-07100RL; 0402; 4,7 кОм ± 5%; 0,1 Вт; (Китай)"
"R7"	"Чип-резистор RC0402JR-07100RL; 0402; 120 Ом ± 5%; 0,1 Вт; (Китай)"
"R8"	"Чип-резистор RC0402JR-07100RL; 0402; 5,1 Ом ± 5%; 0,1 Вт; (Китай)"
"R9"	"Чип-резистор RC0402JR-07100RL; 0402; 5,1 Ом ± 5%; 0,1 Вт; (Китай)"
"R10"	"Чип-резистор RC0402JR-07100RL; 0402; 4,7 кОм ± 5%; 0,1 Вт; (Китай)"
"R11"	"Чип-резистор RC0402JR-07100RL; 0402; 120 Ом ± 5%; 0,1 Вт; (Китай)"
"R12"	"Чип-резистор RC0402JR-07100RL; 0402; 5,1 Ом ± 5%; 0,1 Вт; (Китай)"
"R13"	"Чип-резистор RC0402JR-07100RL; 0402; 5,1 Ом ± 5%; 0,1 Вт; (Китай)"
"R14"	"Чип-резистор RC0402JR-07100RL; 0402; 1 кОм ± 5%; 0,1 Вт; (Китай)"
"R15"	"Чип-резистор RC0402JR-07100RL; 0402; 1 кОм ± 5%; 0,1 Вт; (Китай)"
"SB1"	"DIP-переключатель DS1040-01RT; Ningbo Connfly Electronic (Китай)"
"SB2"	"Кнопка тактовая SMD; 6x6x5 мм; Switronic Industrial (Китай)"
"SB3"	"Кнопка тактовая SMD; 6x6x5 мм; Switronic Industrial (Китай)"
"VB1"	"Отсек батарейный L-KLS5-801-D; KLS Electronic Co. (Китай)"
"VD1"	"Чип LED-светодиод BL-HJD36A-AV (HUB36A); 0603; (Китай)"
"VD2"	"Чип LED-светодиод BL-HG636D; 0603; (Китай)"
"VD3"	"Чип LED-светодиод BL-HB536A; 0603; (Китай)"
"VD4"	"Чип LED-светодиод BL-HB536A; 0603; (Китай)"
"VD5"	"Чип LED-светодиод BL-HG636D; 0603; (Китай)"
"VD6"	"Чип LED-светодиод BL-HB536A; 0603; (Китай)"
"VD7"	"Чип LED-светодиод BL-HG636D; 0603; (Китай)"
