Designator	PrintData	SheetNumber

"*1"	""	"1"
"*2"	""	"1"
"*3"	""	"1"
"*4"	""	"1"
"*5"	""	"1"
"*6"	""	"1"
"*8"	""	"1"
"*9"	""	"1"
"*10"	""	"1"
"*11"	""	"1"
"A1"	"Чип-антенна керамическая ACAG1204-433-T; Abracon (США)"	"1"
"C1"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C2"	"Чип-конденсатор керамический; 0402; 1 мкФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C3"	"Чип-конденсатор керамический; 0402; 4.7 мкФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C4"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C5"	"Чип-конденсатор керамический; 0402; 1 мкФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C6"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C7"	"Чип-конденсатор керамический; 0402; 6 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C8"	"Чип-конденсатор керамический; 0402; 6 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C9"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C10"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C11"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C12"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C13"	"Чип-конденсатор керамический; 0402; 1 мкФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C14"	"Чип-конденсатор керамический; 0402; 47 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C15"	"Чип-конденсатор керамический; 0402; 2,2 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C16"	"Чип-конденсатор керамический; 0402; 6,8 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C17"	"Чип-конденсатор керамический; 0402; 15 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C18"	"Чип-конденсатор керамический; 0402; 12 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C19"	"Чип-конденсатор керамический; 0402; 6,8 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C20"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C21"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C22"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C23"	"Чип-конденсатор керамический; 0402; 100 нФ ± 10%; 50 В; X7R; (Китай)"	"1"
"C24"	"Чип-конденсатор керамический; 0402; 47 пФ ± 10%; 50 В; X7R; (Китай)"	"1"
